ticker,date,open_price,close_price,volume
IBM,2018-01-02,146.1117,145.8753,4202503.0
IBM,2018-01-03,148.7975,149.8851,9441567.0
IBM,2018-01-04,150.9821,152.9208,7556249.0
IBM,2018-01-05,153.6206,153.6679,5195764.0
IBM,2018-01-08,153.8287,154.5947,5237523.0
IBM,2018-01-09,155.0014,154.9352,4341810.0
IBM,2018-01-10,154.0651,155.2661,4174105.0
IBM,2018-01-11,155.8525,155.2851,3794453.0
IBM,2018-01-12,155.1148,154.2826,5031886.0
IBM,2018-01-16,156.1362,154.9541,7794195.0
IBM,2018-01-17,158.8882,159.4935,11710033.0
IBM,2018-01-18,160.7702,159.9379,14259345.0
IBM,2018-01-19,155.5309,153.5544,21172488.0
IBM,2018-01-22,152.7411,153.7719,8480795.0
IBM,2018-01-23,153.98,157.2238,7466232.0
IBM,2018-01-24,157.6966,156.3915,5645003.0
IBM,2018-01-25,156.9022,156.4861,3302520.0
IBM,2018-01-26,157.1008,158.2546,3787913.0
IBM,2018-01-29,158.3586,157.7439,3516995.0
IBM,2018-01-30,157.1859,154.7366,4902341.0
IBM,2018-01-31,154.8595,154.8122,4072830.0
IBM,2018-02-01,154.3299,153.5828,4434242.0
IBM,2018-02-02,152.9208,150.3958,5251938.0
IBM,2018-02-05,149.3177,144.2487,8746599.0
IBM,2018-02-06,142.1303,146.9061,9867678.0
IBM,2018-02-07,145.7996,145.497,6149207.0
IBM,2018-02-08,145.6212,140.9511,6779095.0
IBM,2018-02-09,141.9157,142.7848,7828290.0
IBM,2018-02-12,144.1123,144.5898,5881377.0
IBM,2018-02-13,144.1123,143.969,4891010.0
IBM,2018-02-14,143.4342,147.7986,5479033.0
IBM,2018-02-15,148.5053,148.9924,5623581.0
IBM,2018-02-16,148.7059,149.1548,4282908.0
IBM,2018-02-20,148.7823,148.1806,4489604.0
IBM,2018-02-21,148.4385,147.0346,3728571.0
IBM,2018-02-22,147.5503,146.2897,4024627.0
IBM,2018-02-23,147.3593,148.5244,3256074.0
IBM,2018-02-26,148.8014,151.4468,3610292.0
IBM,2018-02-27,151.3322,149.5081,4237283.0
IBM,2018-02-28,150.4154,148.8205,3803512.0
IBM,2018-03-01,148.534,146.8914,4039339.0
IBM,2018-03-02,145.9172,147.5408,3261141.0
IBM,2018-03-05,147.1874,149.8901,3670630.0
IBM,2018-03-06,150.2053,148.7154,3685736.0
IBM,2018-03-07,148.0278,151.1985,4607677.0
IBM,2018-03-08,151.8479,149.1834,6455612.0
IBM,2018-03-09,150.3867,152.144,5022238.0
IBM,2018-03-12,152.4591,153.0512,5063497.0
IBM,2018-03-13,152.8889,152.1535,4185590.0
IBM,2018-03-14,152.9653,151.0075,3631825.0
IBM,2018-03-15,151.5709,152.4305,3870595.0
IBM,2018-03-16,152.8602,153.0512,9262656.0
IBM,2018-03-19,152.526,150.2721,5481983.0
IBM,2018-03-20,150.4345,149.1739,4336738.0
IBM,2018-03-21,149.5272,149.6418,3482184.0
IBM,2018-03-22,148.0278,145.2487,4746349.0
IBM,2018-03-23,145.4015,142.1927,4440883.0
IBM,2018-03-26,144.4083,146.4711,4103904.0
IBM,2018-03-27,147.0251,145.0768,3883745.0
IBM,2018-03-28,145.2296,145.6594,3664826.0
IBM,2018-03-29,146.1846,146.5285,3419959.0
IBM,2018-04-02,146.4425,143.3196,5150435.0
IBM,2018-04-03,144.0168,143.1095,4135696.0
IBM,2018-04-04,141.2377,147.1874,4805261.0
IBM,2018-04-05,147.493,147.1015,3185388.0
IBM,2018-04-06,146.5571,143.7971,3672919.0
IBM,2018-04-09,144.9718,145.8217,4413178.0
IBM,2018-04-10,148.0565,148.4003,3955952.0
IBM,2018-04-11,147.4262,148.3716,3306539.0
IBM,2018-04-12,149.6991,150.9597,5639444.0
IBM,2018-04-13,151.5327,149.6609,4057058.0
IBM,2018-04-16,150.8833,150.7878,4186755.0
IBM,2018-04-17,151.676,153.672,10207534.0
IBM,2018-04-18,145.2965,142.0972,20381695.0
IBM,2018-04-19,142.4792,141.0562,8086056.0
IBM,2018-04-20,141.2472,138.3821,8265643.0
IBM,2018-04-23,138.5063,139.299,5315625.0
IBM,2018-04-24,139.9197,139.0125,4916476.0
IBM,2018-04-25,139.2321,139.3754,7324654.0
IBM,2018-04-26,140.0057,140.1203,4265812.0
IBM,2018-04-27,140.2349,139.8911,3205482.0
IBM,2018-04-30,140.254,138.4394,4415533.0
IBM,2018-05-01,138.1434,138.4776,4433393.0
IBM,2018-05-02,137.9619,136.0423,5194917.0
IBM,2018-05-03,135.7367,135.603,5018592.0
IBM,2018-05-04,134.7531,137.4367,4402170.0
IBM,2018-05-07,137.5226,136.7777,3657009.0
IBM,2018-05-08,136.5676,136.5676,5369119.0
IBM,2018-05-09,137.0214,137.707,4195953.0
IBM,2018-05-10,138.2285,139.281,3726608.0
IBM,2018-05-11,139.1555,139.1844,3073167.0
IBM,2018-05-14,139.5031,139.3389,3216062.0
IBM,2018-05-15,138.5664,138.7982,4089397.0
IBM,2018-05-16,138.7596,139.6576,3168659.0
IBM,2018-05-17,139.5321,139.5321,3147659.0
IBM,2018-05-18,139.5031,139.1265,2682243.0
IBM,2018-05-21,139.9666,140.488,2894698.0
IBM,2018-05-22,140.517,140.1018,2284020.0
IBM,2018-05-23,139.3872,139.6962,3459747.0
IBM,2018-05-24,139.4258,139.1168,3398701.0
IBM,2018-05-25,138.9527,138.7016,4914294.0
IBM,2018-05-29,137.6298,136.3648,4537638.0
IBM,2018-05-30,137.0214,137.7167,5118530.0
IBM,2018-05-31,137.9002,136.4517,6830256.0
IBM,2018-06-01,137.5332,137.0697,3857530.0
IBM,2018-06-04,137.4077,138.1223,3035257.0
IBM,2018-06-05,138.1319,138.7596,2836017.0
IBM,2018-06-06,139.3776,139.7348,3220139.0
IBM,2018-06-07,140.0149,140.3625,4316484.0
IBM,2018-06-08,140.0149,141.1157,5210468.0
IBM,2018-06-11,141.5792,141.5405,3259986.0
IBM,2018-06-12,142.0427,141.8206,2640515.0
IBM,2018-06-13,141.7433,141.3185,2968180.0
IBM,2018-06-14,141.6081,140.208,3326343.0
IBM,2018-06-15,139.9183,140.3915,9116048.0
IBM,2018-06-18,139.2231,139.5127,4286406.0
IBM,2018-06-19,138.1995,138.9527,3487015.0
IBM,2018-06-20,139.2617,137.7264,3329917.0
IBM,2018-06-21,137.6877,136.3938,3887650.0
IBM,2018-06-22,136.7704,136.4228,6013678.0
IBM,2018-06-25,135.573,134.0184,8937085.0
IBM,2018-06-26,134.5688,134.2984,4139455.0
IBM,2018-06-27,134.3274,132.7534,4097588.0
IBM,2018-06-28,133.3521,135.2254,4523666.0
IBM,2018-06-29,135.4958,134.8971,3753684.0
IBM,2018-07-02,133.5259,135.0516,3405642.0
IBM,2018-07-03,135.8144,134.7716,1963232.0
IBM,2018-07-05,135.6503,136.5676,3744730.0
IBM,2018-07-06,136.6642,137.5815,2910426.0
IBM,2018-07-09,137.6877,139.4258,3904652.0
IBM,2018-07-10,139.5417,139.7348,3776991.0
IBM,2018-07-11,139.0493,139.9569,3526565.0
IBM,2018-07-12,140.8356,141.415,3119505.0
IBM,2018-07-13,141.415,140.8839,3067638.0
IBM,2018-07-16,140.6618,140.4591,3468817.0
IBM,2018-07-17,139.7735,138.5568,5096741.0
IBM,2018-07-18,138.5761,139.5514,6935288.0
IBM,2018-07-19,142.7669,144.1091,14655804.0
IBM,2018-07-20,143.4718,141.3185,6415972.0
IBM,2018-07-23,141.3185,140.6908,3897892.0
IBM,2018-07-24,141.6564,141.3474,3891625.0
IBM,2018-07-25,140.9901,141.5792,3623182.0
IBM,2018-07-26,142.3613,141.6661,4778022.0
IBM,2018-07-27,141.8399,140.1597,3749642.0
IBM,2018-07-30,139.8217,140.488,3608283.0
IBM,2018-07-31,140.7294,139.9473,5474478.0
IBM,2018-08-01,139.7831,138.5664,3388386.0
IBM,2018-08-02,137.9484,138.045,3841447.0
IBM,2018-08-03,138.3154,142.622,8053567.0
IBM,2018-08-06,141.8978,141.0095,3913743.0
IBM,2018-08-07,141.6081,141.9558,3508758.0
IBM,2018-08-08,142.2648,141.8399,3581746.0
IBM,2018-08-09,142.0448,141.303,3093504.0
IBM,2018-08-10,141.0395,141.02,3003158.0
IBM,2018-08-13,140.6979,139.2924,2858842.0
IBM,2018-08-14,139.5754,139.9268,2860041.0
IBM,2018-08-15,139.1362,140.4636,4241496.0
IBM,2018-08-16,140.9126,141.8594,5250878.0
IBM,2018-08-17,141.3225,142.5621,2678820.0
IBM,2018-08-20,142.8647,143.0014,2499654.0
IBM,2018-08-21,143.4796,142.4743,3106876.0
IBM,2018-08-22,142.5133,141.7618,2388961.0
