company,ticker,title,body,date,replies
GlaxoSmithKline PLC,GSK,GlaxoSmithKline Layoffs 2018,Do you think we'll have (new) layoffs in Brentford.,2017-10-15,0
GlaxoSmithKline PLC,GSK,GlaxoSmithKline Layoffs 2017,How about a new round of layoffs in Brentford.,2016-11-22,0
GlaxoSmithKline PLC,GSK,Glaxo Philadelphia and Research Triangle Park Redundancies in 2016,Anyone has an idea if there will be layoffs in 2016? Please let me know.,2015-11-07,1
GlaxoSmithKline PLC,GSK,Bonuses?,What do you guys think?,2014-12-03,1
GlaxoSmithKline PLC,GSK,2015 Layoffs at Glaxo,What are your thoughts? Are we gonna have more cuts?,2014-11-19,0
GlaxoSmithKline PLC,GSK,And back in 2008,"GlaxoSmithKline had a horrible recession record - sales force was reduced 1,000 resources - all of them in the US. 2014 may be even worse.",2013-12-12,2
GlaxoSmithKline PLC,GSK,"UK\'s largest pharmaceutical company, Glaxo Smith Kline (GSK), is to eliminate up to 4K more jobs as part of its plans to reorganize and...","UK\'s largest pharmaceutical company, Glaxo Smith Kline (GSK), is to eliminate up to 4K more jobs as part of its plans to reorganize and restructure its workforce and focus on developing markets. The bulk of the cuts will affect workers in the USA...
read more",2010-02-01,0
Global Partners LP,GLP,"Everyone is struggling: Mobil, Exxon, Shell, Sunoco, Gulf, CITGO, Global, etc...",So what can we expect in 2015? More layoffs and more uncertainty. We'll see what happens but things do not look good for Global Partners right now.,2015-01-11,1
Global Payments Inc.,GPN,Alpharetta Payroll Branch,"Announced to employees today, the Alpharetta, GA Heartland Payroll branch will be closing by the end of February, with some employees being laid off as of Oct 31, others as of Dec 31, and the rest as of Feb 28. Approximately 60 employees will be...
read more",2017-10-13,0
Global Payments Inc.,GPN,whosonfirst,whosonfirst,2011-06-04,0
Global Traffic Network Inc.,GNET,Hard to say what's ahead of us,"really, the industry is nuts, things are moving quickly",2014-07-24,0
Globalstar Inc.,GSAT,2015 Layoffs at Globalstar,"The stock continues to slide, major slide. I see many challenges in 2015 and I am pretty sure we'll see some layoffs. Many internal functions are already short on staff, for example finance and HR, I would not expect any cuts to happen there. But you...
read more",2014-11-18,0
Globecomm Systems Inc.,GCOM,Talks about 2017 Layoffs,"I hear rumblings, but I left in 2015 and I cannot tell you what's happening right now. Let's hope someone chimes in...",2017-05-11,1
Globecomm Systems Inc.,GCOM,"Lay offs happened 6/26/2015, let go of very good, hard working and key people to save money. Today 12/1/2015, let go of another person, cruel",no body text,2015-12-01,2
Globecomm Systems Inc.,GCOM,Nothing new here at Globecomm,"Still business as usual, no layoffs but 2015 might be an interesting year - I'd be concerned if I was in marketing",2014-11-03,0
Globecomm Systems Inc.,GCOM,It's starting - hang in there - Globecomm 2014 Layoffs will be brutal,"Do not kid yourself, prep that resume, we'll all remember this March",2014-03-07,0
Glori Energy Inc.,GLRI,Scam,Glori employees are paid excessive salaries to keep quiet about what's really going on. That the company is a scam. That Glori has never been able to increase oil production.,2016-02-02,0
Glori Energy Inc.,GLRI,"Glori used to pay good, not any more","Things have changed, they want a bigger chunk of what you should be getting - I hope to leave soon",2015-07-30,1
Glu Mobile Inc.,GLUU,Game Dev Ops Streamlined,There you go: http://www.gamasutra.com/view/news/289034/Glu_restructure_could_result_in_over_100_layoffs_loss_of_two_studios.php,2017-01-11,0
Glu Mobile Inc.,GLUU,People hate working here,Check out Glassdoor Also: http://www.gamesindustry.biz/articles/2016-05-04-glu-confirms-100-jobs-cut-in-five-months-following-q1-loss,2017-01-11,0
Glu Mobile Inc.,GLUU,Things are not going as good as in 2013,We'll see what 2015 brings,2014-10-30,1
Gmarket Inc.,GMKT,Great company,"Great concept, good ideas, I've Gmarket - Hopefully I'll see it soon",2014-07-23,0
GoDaddy Inc.,GDDY,No warning,"Got to work and was told 3ed shift having layoff unless you have been there at least 2 years. Third shift covers Go Daddy clients in Europe and they have opened up call centers over there. All Go Daddy cares about is sales numbers even if you're not...
read more",2017-08-14,1
GoPro,GPRO,When is the next round?,https://www.marketwatch.com/story/gopro-predicts-profit-thanks-to-massive-layoffs-2019-02-06,2019-02-09,0
